Cond URL, Turb URL, discharge URL,Stream,start date,end date,discharge count,NO3 count,fDOM count,Specific Conductance count,Turbidity count,pH count,DO count,Beginning,End,,,,,,,
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-09-19/enddate=2017-09-21,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-09-19/enddate=2017-09-21,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-09-19/enddate=2017-09-21/,Quebrada Sonadora,9/19/2017 0:45,9/21/2017 0:45,191,196,192,192,192,192,191,8/27/2017 14:59,8/28/2017 4:46,,,,,,21,Pre-Maria
,,,,,,,,,,,,,9/6/2017 11:14,9/7/2017 5:16,,,,,,22,Pre-Maria
,,,,,,,,,,,,,9/7/2017 18:44,9/8/2017 6:31,,,,,,23,Pre-Maria
,,,,,,,,,,,,,9/11/2017 13:44,9/12/2017 0:46,,,,,,24,Pre-Maria
,,,,,,,,,,,,,9/19/2017 19:59,9/21/2017 6:01,,,,,,25,Hurricane Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-10-09/enddate=2017-10-11,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-10-09/enddate=2017-10-11,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-10-09/enddate=2017-10-11/,Quebrada Sonadora,10/9/2017 14:00,10/11/2017 14:00,191,192,192,192,192,192,191,10/10/2017 13:00,10/11/2017 4:15,,,,,,26,Post-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-10-14/enddate=2017-10-16,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-10-14/enddate=2017-10-16,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-10-14/enddate=2017-10-16/,Quebrada Sonadora,10/14/2017 16:45,10/16/2017 16:45,191,192,192,192,192,192,191,10/15/2017 15:45,10/16/2017 8:30,,,,,,27,Post-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-10-15/enddate=2017-10-17,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-10-15/enddate=2017-10-17,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-10-15/enddate=2017-10-17/,Quebrada Sonadora,10/15/2017 14:00,10/17/2017 14:00,191,192,192,192,192,192,191,10/16/2017 8:45,10/17/2017 1:45,,,,,,28,Post-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-11-04/enddate=2017-11-06,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-11-04/enddate=2017-11-06,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-11-04/enddate=2017-11-06/,Quebrada Sonadora,11/4/2017 10:45,11/6/2017 10:45,191,192,192,192,192,192,191,11/5/2017 9:45,11/6/2017 10:30,,,,,,29,Post-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-11-14/enddate=2017-11-16,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-11-14/enddate=2017-11-16,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-11-14/enddate=2017-11-16/,Quebrada Sonadora,11/14/2017 3:15,11/16/2017 3:15,191,192,192,192,192,192,191,11/15/2017 2:00,11/15/2017 19:15,,,,,,30,Post-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2018-01-15/enddate=2018-01-17,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2018-01-15/enddate=2018-01-17,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2018-01-15/enddate=2018-01-17/,Quebrada Sonadora,1/15/2018 20:00,1/17/2018 20:00,191,192,192,192,192,192,191,1/16/2018 18:45,1/17/2018 8:15,,,,,,31,Post-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2018-01-26/enddate=2018-01-28,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2018-01-26/enddate=2018-01-28,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2018-01-26/enddate=2018-01-28/,Quebrada Sonadora,1/26/2018 8:45,1/28/2018 8:45,191,192,192,192,192,192,191,,,Very complex event -- not sure how/if we shuold use…,,,,,32,Post-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2018-04-20/enddate=2018-04-22,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2018-04-20/enddate=2018-04-22,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2018-04-20/enddate=2018-04-22/,Quebrada Sonadora,4/20/2018 1:15,4/22/2018 1:15,191,192,192,192,192,192,191,4/21/2018 0:45,4/21/2018 14:15,,,,,,33,Post-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2018-05-20/enddate=2018-05-22,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2018-05-20/enddate=2018-05-22,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2018-05-20/enddate=2018-05-22/,Quebrada Sonadora,5/20/2018 23:00,5/22/2018 23:00,191,95,95,95,95,95,191,5/21/18 13:30 PM,5/22/2018 13:45,,,,,,34,Post-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2018-05-27/enddate=2018-05-29,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2018-05-27/enddate=2018-05-29,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2018-05-27/enddate=2018-05-29/,Quebrada Sonadora,5/27/2018 5:45,5/29/2018 5:45,191,192,192,192,192,192,191,5/28/2018 4:45,5/29/2018 17:30,,,,,,35,Post-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2018-06-22/enddate=2018-06-24,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2018-06-22/enddate=2018-06-24,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2018-06-22/enddate=2018-06-24/,Quebrada Sonadora,6/22/2018 7:00,6/24/2018 7:00,191,192,192,192,192,192,191,6/22/2018 20:30,6/24/2018 3:00,,,,,,36,Post-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2018-08-04/enddate=2018-08-06,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2018-08-04/enddate=2018-08-06,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2018-08-04/enddate=2018-08-06/,Quebrada Sonadora,8/4/2018 22:15,8/6/2018 22:15,191,192,192,192,192,192,191,8/5/2018 21:00,8/6/2018 20:00,,,,,,37,Post-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2018-08-16/enddate=2018-08-18,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2018-08-16/enddate=2018-08-18,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2018-08-16/enddate=2018-08-18/,Quebrada Sonadora,8/16/2018 17:15,8/18/2018 17:15,191,192,192,192,192,192,191,8/17/2018 16:15,8/18/2018 11:45,,,,,,38,Post-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2018-08-28/enddate=2018-08-30,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2018-08-28/enddate=2018-08-30,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2018-08-28/enddate=2018-08-30/,Quebrada Sonadora,8/28/2018 15:15,8/30/2018 15:15,191,192,192,192,192,192,191,8/29/2018 11:45,8/30/2018 7:45,,,,,,39,Post-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2018-09-04/enddate=2018-09-06,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2018-09-04/enddate=2018-09-06,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2018-09-04/enddate=2018-09-06/,Quebrada Sonadora,9/4/2018 14:30,9/6/2018 14:30,191,192,192,192,192,192,191,9/5/2018 13:00,9/6/2018 9:15,,,,,,40,Post-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2018-09-24/enddate=2018-09-26,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2018-09-24/enddate=2018-09-26,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2018-09-24/enddate=2018-09-26/,Quebrada Sonadora,9/24/2018 4:45,9/26/2018 4:45,191,192,192,192,192,192,191,9/24/2018 22:15,9/25/2018 12:45,,,,,,41,Post-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2018-09-28/enddate=2018-09-30,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2018-09-28/enddate=2018-09-30,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2018-09-28/enddate=2018-09-30/,Quebrada Sonadora,9/28/2018 18:45,9/30/2018 18:45,191,192,192,192,192,192,191,9/29/2018 17:00,9/30/2018 5:45,,,,,,42,Post-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2018-10-04/enddate=2018-10-06,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2018-10-04/enddate=2018-10-06,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2018-10-04/enddate=2018-10-06/,Quebrada Sonadora,10/4/2018 16:00,10/6/2018 16:00,191,2,1,1,2,2,191,10/5/2018 12:00,10/6/2018 1:30,,,,,,43,Post-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2018-12-27/enddate=2018-12-29,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2018-12-27/enddate=2018-12-29,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2018-12-27/enddate=2018-12-29/,Quebrada Sonadora,12/27/2018 12:45,12/29/2018 12:45,191,192,192,192,192,192,0,12/28/2018 11:00,12/29/2018 16:15,,,,,,44,Post-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2019-01-16/enddate=2019-01-18,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2019-01-16/enddate=2019-01-18,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2019-01-16/enddate=2019-01-18/,Quebrada Sonadora,1/16/2019 14:15,1/18/2019 14:15,191,192,192,192,192,192,191,1/17/2019 12:00,1/18/2019 4:15,,,,,,45,Post-Maria
